	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16
北京	18482	56.6	43.3	8.39	0.8918	335	0.7	58.9	68.3	0.41	14.83	240	89.2	23.8	8	0.1777
天津	14808	45.1	34.1	1	0.9089	234	3.4	54.5	54.9	0.44	12.58	309	89.5	38.7	4.06	0.1896
河北	6525	32.5	6.1	0.16	0.4786	83	6.83	18.6	32.9	0.4	12.86	632	79.4	34.7	5.61	0.1161
山西	5040	33.6	4.6	0.39	0.5962	91	9.92	74.1	30.1	0.43	11.97	441	61.5	24.3	3.83	0.2129
内蒙	5068	31.1	3.7	0.25	0.41	104	8.23	33.8	29	0.41	12.07	451	76.2	4.6	5.9	0.1551
辽宁	9333	38.5	17.2	0.59	0.6797	119	4.58	44.8	39.4	0.45	11.68	424	81.4	22.6	5.88	0.1446
吉林	5916	34.1	4	0.64	0.3945	106	6.05	42.5	33.3	0.46	11.72	448	79.7	21.1	5.74	0.096
黑龙江	7544	30.5	2.7	0.24	0.699	97	6.36	43.7	32.9	0.44	11.45	496	84.1	19.8	6.45	0.2116
上海	28253	47.8	35.8	1.47	1.1922	487	-1.8	65.2	68.1	0.51	13.91	293	92.4	50	2.84	0.1703
江苏	10021	35.3	18	0.42	0.6603	125	4.13	26.9	37	0.45	14.72	619	86.8	43.4	7.7	0.324
浙江	11247	33	18	0.19	0.7365	121	4.82	20.4	43.4	0.43	19.86	637	81.9	16.2	6.93	0.1384
安徽	4576	29	4.4	0.23	0.4109	64	9.2	18.9	25.4	0.5	11.44	909	85.1	30.7	6.68	0.1113
福建	10369	38.3	24.8	0.11	0.6772	141	5.33	19.6	40.8	0.52	16.96	785	77.7	9.9	6.5	0.0861
江西	4484	35.7	4.6	0.21	0.4045	67	9.8	21.2	25.8	0.49	13.31	791	78.2	13.8	5.65	0.0489
山东	8120	34.8	12	0.21	0.5828	101	5.46	26	31.4	0.4	14.69	665	83.7	44.6	6.55	0.2412
河南	4712	29.2	2.3	0.32	0.3873	62	7.8	17.6	27.8	0.43	12.13	871	85.4	42.5	5.41	0.1253
湖北	6300	32.5	3.8	0.7	0.5716	73	5.88	27.5	28.8	0.44	14.29	585	79.1	18.1	7.86	0.0965
湖南	4953	33.9	3.3	0.37	0.4095	61	5.21	19.2	26.1	0.44	13.73	699	69.2	15.5	4.78	0.0518
广东	11143	36.9	79.1	0.31	0.7674	154	10.9	31.1	52.4	0.44	17.68	680	77.4	13	8.33	0.0598
广西	4076	34.2	7.8	0.23	0.3789	74	9.01	17.2	25.8	0.46	14.24	779	72.3	11	7.08	0.0901
海南	6022	42	14.4	0.29	0.3504	105	12.92	24.7	31	0.55	15.17	579	81.8	12.7	11.26	0.0327
重庆	4684	38.1	3	0.37	0.4165	58	5.51	20.1	29.5	0.45	12.17	712	71.1	19.4	2.29	0.0692
四川	4339	31.1	2.7	1.04	0.3957	58	7.48	17.2	26.7	0.45	13.61	669	66.6	9.3	4.16	0.071
贵州	2342	29.8	3.8	0.29	0.3014	63	14.26	14.1	23.4	0.48	11.09	831	52.5	10.8	7.63	0.1551
云南	4355	31.1	5.2	0.42	0.5916	121	12.1	14.6	28.6	0.44	13.36	702	60.3	7.6	7.54	0.1129
西藏	3716	43.5	4.4	0.31	0.3855	208	15.9	13.5	13.8	0.53	18.97	504	34.1	0.2	29.54	0
陕西	3834	38.4	7.1	2.37	0.3745	73	7.13	21.8	30	0.41	10.63	571	78.6	16.5	3.74	0.1754
甘肃	3456	32.8	3.3	0.97	0.3376	77	10.04	18.7	28.3	0.46	11.24	663	76.4	7.7	3.5	0.2453
青海	4367	40.9	3.9	0.45	0.4552	119	14.48	26.4	26.8	0.45	8.72	503	79.5	0.8	3.02	0.0365
宁夏	4270	37.3	7.6	0.47	0.3858	111	13.08	28.3	35.6	0.42	11.24	489	72.5	12.2	3.85	0.2607
新疆	6229	35.4	5.5	0.24	0.5737	137	12.81	35.3	30.8	0.45	12.46	406	70.3	2	5.79	0.2305
