	X1	X2	X3	X4	X5	X6	X7
广州市	2504685	0.76	1.38	315.95	360697.5	224645.3	850957
珠海市	336312.9	0.77	1.56	24.57	51261.21	28622.46	118923.3
汕头市	459623.2	1.03	1.39	67.76	90426.76	39189.25	140527.6
深圳市	2407800	2.54	5.38	255.09	260939.5	244179.3	1003601
佛山市	872521	0.62	1.15	95.03	99551.34	95465.15	349089.6
韶关市	146567.8	1.28	1.23	13.97	19184.27	9921.97	39182.47
河源市	105169.6	1.46	1.51	6.33	11927.68	7523.68	28804.3
梅州市	163800.8	2.74	2.45	10.84	28824.38	10664.08	40965
惠州市	407695.3	2.64	3.91	47.32	39881.16	40954.59	160412.8
汕尾市	124567.6	1.11	1.02	6.14	12402.01	9817.33	36103.81
东莞市	1521224	1.29	3.05	57.28	132547.8	179611.4	710268.9
中山市	463105.7	0.64	1.17	71.38	49292.22	46733.02	178235.4
江门市	391794.7	0.94	1.31	19.74	31922.63	31839.73	120902.5
阳江市	129929.7	0.87	0.82	24.88	12496.82	8751.72	33261.07
湛江市	268156.9	0.67	0.7	13.49	32280.37	16984.95	66716.39
茂名市	194854.9	0.78	0.64	8.99	41158.33	13163.95	50628.09
肇庆市	190803.3	1.63	1.82	19.26	26969.57	14207.31	53703.97
清远市	151625.2	0.92	1.24	19.43	20661.24	11381.77	43122.04
潮州市	168024.5	1.73	2.11	9.72	35179.34	13768.05	49586.07
揭阳市	249834.6	1.29	1.32	10.4	28149.39	20449.77	73266.4
云浮市	89079.83	1.52	1.36	8.81	12218.77	6563.5	24170.14
