	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
上海医药	0.33	3.65	8.93	0.212	1.13	0.78	10.33	10.16	6.91	9.17	1.69
昆明制药	0.72	6.11	11.73	0.7124	2.23	1.92	55.37	54.63	3.19	3.61	0.78
片仔癀	0.43	3.88	11.14	0.4251	11.7	9.01	67.03	66.12	0.66	2.82	0.46
同仁堂	0.722	4.93	14.64	0.6954	2.54	1.08	47.38	46.14	1.15	2.92	0.83
天士力	0.5	3.91	12.67	0.4945	2.18	2.02	72.41	71.07	4.6	2.38	0.7
复星实业	0.648	4.34	14.94	0.65	1.11	0.89	26.04	25.55	5.45	2.86	0.54
康美药业	0.723	6.25	11.57	0.716	1.11	0.73	27.8	27.33	3.38	1.41	0.7
江中药业	0.35	4.12	8.42	0.3542	1.48	1.22	59.52	58.74	4.96	2.57	1.09
联环药业	0.187	4.09	4.58	0.1935	5.39	4.81	41.73	41.36	3.55	3.72	0.54
交大昂立	0.29	4.78	5.96	0.1457	2.08	1.82	49.87	47.37	2.02	4.17	0.43
双鹤药业	0.296	3.52	8.41	0.3	1.16	0.87	26.98	26.49	3.52	2.51	0.79
亚宝药业	0.22	2.58	8.41	0.2208	1.48	1.21	45.64	44.83	3.71	2.34	0.67
东盛科技	0.21	2.15	9.61	0.2364	1.1	1.05	72.76	71.3	4.64	1.84	0.43
金宇集团	0.404	5.2	7.78	0.3997	1.96	0.76	39.31	38.15	0.66	1.65	0.38
太极集团	0.226	3.53	6.41	0.1597	0.72	0.47	27.71	27.19	4.48	2.11	0.9
美罗药业	0.12	4.81	2.43	0.1015	1.64	1.38	20.65	20.25	5.03	3.16	0.74
天药股份	0.358	3.53	10.14	0.3045	1.42	1.02	26.29	25.72	2	1.4	0.44
中新药业	0.23	4.31	5.42	0.1314	0.92	0.59	42.44	41.76	2.21	1.84	0.61
星湖科技	0.22	2.77	7.92	0.2163	2.65	1.9	34.25	33.58	2.54	1.27	0.5
天坛生物	0.199	2.76	7.22	0.2002	2.87	2.01	50.01	49.36	0.96	1.03	0.39
钱江生化	0.161	3.29	4.89	0.1295	1.75	1.44	24.54	24.4	2.92	1.74	0.43
迪康药业	0.1	5.21	1.93	0.0586	2.73	2.51	47.52	46.86	2.71	0.58	0.19
金花股份	0.062	3.75	1.65	0.0662	1.23	1.09	18.31	17.96	9.21	0.75	0.38
鲁抗医药	0.13	3.92	3.35	0.158	1.17	0.82	26.18	25.52	3.18	0.58	0.38
通化东宝	0.11	4.19	2.66	0.1076	2.3	1.93	49.4	48.8	1.36	0.43	0.18
天目药业	-0.127	1.89	-5.48	-0.1113	2.21	1.76	38.55	37.71	2.84	1.7	0.55
ST三普	-0.061	1.01	-5.96	-0.0606	0.81	0.64	36.7	36.02	1.95	1.3	0.33
ST金泰	-0.54	-0.22	0.41	-0.2675	0.45	0.21	26.53	26.02	0.12	0.14	0.04
